id;company_name;company_neq_number;is_thistax_exempt_organization;resource_person;address;email;phone
1;grâce à;loin au cas où;false;enfin triangulaire;ça;Gislebert_Roussel48@yahoo.fr;+33 113388121
2;grâce à;en face de;true;sans doute;glouglou avant de;Hortense_Guillot@hotmail.fr;+33 503944951
3;subito outre;adepte de façon à pour que;false;drelin lentement balayer;à défaut de  dissoudre;Adrehilde_Huet@hotmail.fr;+33 619425373
4;outre;direction loin;false;terne;rectorat tellement à la merci;Joelle_Renault34@gmail.com;+33 648748209
5;à l'encontre de selon vivace;même si d’autant que adversaire;false;hôte;beaucoup;Jeanned6c9Arc.Gaillard@yahoo.fr;0528324455
6;oups;en bas de;false;emporter;tchou tchouu clac;Gregoire.Giraud8@hotmail.fr;0411041442
7;tant;commis de cuisine après;true;derrière ha en plus de;avant que dense délectable;Eugenie47@yahoo.fr;+33 170683432
8;serviable personnel professionnel consoler;rassurer;true;orienter;à condition que;Edouard.Dasilva@gmail.com;0296415580
9;hôte atchoum;alors que;false;blablabla soudain;résonner aussitôt que spécialiste;Armide_Gaillard@yahoo.fr;+33 791588278
10;vite immense;de façon que porte-parole élargir;false;triathlète;à même de;Abigail52@gmail.com;+33 666703032
