id;name_building;full_address_building;number_housing_units;electricity_supplier;hydro_quebec_contract_number;hydro_quebec_meter_number;if_several_meters;specify_mete_intended;hydro_quebec_account_number;file_number;type_buillding;nature_project;start_date_work;end_date_work
1;en decà de cocorico revenir;dès que dans efficace;ensuite piquer;répéter;conseil municipal;pendant que asseoir;false;atchoum;de peur que;personnel franco insipide;pin-pon vétuste sincère;apparemment;2024-03-12T22:00:20;2024-03-12T11:45:30
2;malade aïe commissionnaire;areu areu;corps enseignant;à même;pendant que dès que;collègue;true;gouverner;personnel;jeune;glouglou aussitôt que collaborer;à l'égard de souvent;2024-03-12T16:04:58;2024-03-12T17:29:54
3;peut-être puisque;croâ chut;comment vu que;depuis;administration bzzz en bas de;membre à vie;true;au moyen de;hé;tant que;de manière à ce que;grrr;2024-03-12T18:30:45;2024-03-12T15:32:42
4;sympathique;apporter à condition que partenaire;jusqu’à ce que du moment que;émettre tchou tchouu pendant que;boucher aimable;autour;false;à même de façon à ce que;athlète paraître;avant que;au dépens de drelin;hormis;2024-03-13T06:24:52;2024-03-13T02:54:53
5;cyan;avant que à condition que simple;broum y sale;alors que;sympathique autour de de manière à ce que;quand cot cot;false;d'abord;proche de hors;avant que remédier délivrer;vu que rédaction;aïe liquider précisément;2024-03-12T13:56:25;2024-03-12T10:27:14
6;développer main-d’œuvre;blême étant donné que mener;habiter dès que;de sorte que;environ;tchou tchouu si;true;police gestionnaire affirmer;meuh équipe de recherche;diététiste;étant donné que police de façon que;examiner;2024-03-13T06:30:53;2024-03-13T05:20:59
7;en plus de boum;ouf au défaut de;rêver prout innombrable;même si;propre;clac égoïste;true;de façon à ce que;habile;croâ étant donné que smack;dès désigner débarrasser;par suite de porte-parole;2024-03-13T04:30:46;2024-03-13T09:13:23
8;pourpre lentement;au cas où;solitaire;terne;au point que;pourpre collègue;true;bof;insipide paf;étant donné que;en dehors de;délégation;2024-03-13T09:07:42;2024-03-12T15:45:15
9;parlementaire absolument;comme;porte-parole en decà de;étant donné que près de;bè lors;fort de manière à ce que;false;cacher joliment recruter;séculaire murmurer loin;blême même si guide;lorsque;sauf;2024-03-12T23:50:49;2024-03-12T15:02:02
10;considérable clientèle;mature franco délectable;bof pff;jusque d'avec;spécialiste debout smack;dès que;false;afin que;auparavant brave;dans la mesure où au-dessus;déduire de sorte que sauf à;sauvage;2024-03-12T20:39:49;2024-03-12T10:28:06
